"section-id","file-id","url","heading","Codes with >= 2 votes"
1,1,"https://github.com/aasm/aasm","# AASM - Ruby state machines","4"
2,1,"https://github.com/aasm/aasm","## Index","8"
3,1,"https://github.com/aasm/aasm","## Upgrade from version 3 to 4","34"
4,1,"https://github.com/aasm/aasm","## Usage","3"
5,1,"https://github.com/aasm/aasm","### Callbacks","3"
6,1,"https://github.com/aasm/aasm","#### Lifecycle","36"
7,1,"https://github.com/aasm/aasm","#### The current event triggered","3"
8,1,"https://github.com/aasm/aasm","### Guards","3"
9,1,"https://github.com/aasm/aasm","### Transitions","36"
10,1,"https://github.com/aasm/aasm","### Multiple state machines per class","3"
11,1,"https://github.com/aasm/aasm","#### Handling naming conflicts between multiple state machines","3"
12,1,"https://github.com/aasm/aasm","### Binding event","3"
13,1,"https://github.com/aasm/aasm","### Auto-generated Status Constants","36"
14,1,"https://github.com/aasm/aasm","### Extending AASM","3"
15,1,"https://github.com/aasm/aasm","### ActiveRecord","3"
16,1,"https://github.com/aasm/aasm","### Bang events","3"
17,1,"https://github.com/aasm/aasm","#### ActiveRecord enums","36"
18,1,"https://github.com/aasm/aasm","### Sequel","36"
19,1,"https://github.com/aasm/aasm","### Dynamoid","4"
20,1,"https://github.com/aasm/aasm","### Mongoid","36"
21,1,"https://github.com/aasm/aasm","### NoBrainer","36"
22,1,"https://github.com/aasm/aasm","### Redis","36"
23,1,"https://github.com/aasm/aasm","### Automatic Scopes","36"
24,1,"https://github.com/aasm/aasm","### Transaction support","36"
25,1,"https://github.com/aasm/aasm","### Pessimistic Locking","36"
26,1,"https://github.com/aasm/aasm","### Column name & migration","36"
27,1,"https://github.com/aasm/aasm","### Log State Changes","36"
28,1,"https://github.com/aasm/aasm","### Inspection","36"
29,1,"https://github.com/aasm/aasm","### Warning output","36"
30,1,"https://github.com/aasm/aasm","### RubyMotion support","36"
31,1,"https://github.com/aasm/aasm","### Testing","3"
32,1,"https://github.com/aasm/aasm","#### RSpec","1"
33,1,"https://github.com/aasm/aasm","##### Installation Instructions:","3"
34,1,"https://github.com/aasm/aasm","##### Examples Of Usage in Rspec:","3"
35,1,"https://github.com/aasm/aasm","#### Minitest","1"
36,1,"https://github.com/aasm/aasm","##### Assertions","1"
37,1,"https://github.com/aasm/aasm","##### Examples Of Usage (Minitest):","3"
38,1,"https://github.com/aasm/aasm","##### Expectations","36"
39,1,"https://github.com/aasm/aasm","## <a id="installation">Installation ##","-"
40,1,"https://github.com/aasm/aasm","### Manually from RubyGems.org ###","3"
41,1,"https://github.com/aasm/aasm","### Or if you are using Bundler ###","3"
42,1,"https://github.com/aasm/aasm","### Building your own gems ###","3"
43,1,"https://github.com/aasm/aasm","### Generators","3"
44,1,"https://github.com/aasm/aasm","### Docker","3"
45,1,"https://github.com/aasm/aasm","## Latest changes ##","46"
46,1,"https://github.com/aasm/aasm","## Questions? ##","56"
47,1,"https://github.com/aasm/aasm","## Maintainers ##","5"
48,1,"https://github.com/aasm/aasm","## [Contributing](CONTRIBUTING.md)","7"
49,1,"https://github.com/aasm/aasm","## Warranty ##","1"
50,1,"https://github.com/aasm/aasm","## License ##","5"
51,2,"https://github.com/ActsAsParanoid/acts_as_paranoid","# ActsAsParanoid","1"
52,2,"https://github.com/ActsAsParanoid/acts_as_paranoid","## Support","1"
53,2,"https://github.com/ActsAsParanoid/acts_as_paranoid","### Known issues with Rails 5.2+","46"
54,2,"https://github.com/ActsAsParanoid/acts_as_paranoid","## Usage","3"
55,2,"https://github.com/ActsAsParanoid/acts_as_paranoid","#### Install gem:","3"
56,2,"https://github.com/ActsAsParanoid/acts_as_paranoid","#### Create migration","3"
57,2,"https://github.com/ActsAsParanoid/acts_as_paranoid","#### Enable ActsAsParanoid:","3"
58,2,"https://github.com/ActsAsParanoid/acts_as_paranoid","### Options","36"
59,2,"https://github.com/ActsAsParanoid/acts_as_paranoid","### Filtering","36"
